content,ename,more,name
自从传奇影业将“金刚”和“哥斯拉”这两大巨怪都收于麾下后，有关《金刚大战哥斯拉》（King Kong vs. Godzilla）的电影传闻就甚嚣尘上。上周，该电影项目已被正式确认，今天《好莱坞记者报》又发文爆出了该片的更多细节。 据报道，《金刚大战哥斯拉》将在《金刚前传：骷髅岛》（Kong: Skull Island）和《哥斯拉2》之后登场，三者存在于同一个宇宙时空里。换言之《金刚前传：骷髅岛》（Kong: Skull Island）和《哥斯拉2》都将为《金刚大战哥斯拉》铺垫。因此，《金刚大战哥斯拉》最早也要等到2019年才能与观众见面。 不过环球公司对“金刚”兴趣不大，所以传奇现在是和华纳兄弟合作制作这三部电影，据悉华纳将出资25%，同时承担发行工作。 对于《金刚大战哥斯拉》，现在最大的问题就是：金刚在哥斯拉（尤其是2014版）面前其实是个侏儒，哥斯拉高耸入云，而金刚只能趴在帝国大厦的塔尖上。这样他们俩怎么能相互抗衡呢？然而传奇影业并不担心，他们自有办法解决，而且他们不仅会找到合理方式让这两者大战，还会让他们联合。,Godzilla vs. Kong,"Godzilla vs. Kong,剧情,动作,科幻,惊悚,
        美国
          / 147分钟
        ,2020-05-22美国上映",哥斯拉大战金刚
地狱男爵是二战期间被纳粹召唤到人间的恶魔之子，在被布鲁姆教授收养长大后逐渐学会了融入人类世界，成为了一名超自然力量调查员，然而一起关于末世的预言，令他陷入重重危机。与此同时，史上最强大的邪恶女巫血皇后正企图打破封印重返人间，并让瘟疫席卷地球。地狱男爵与通灵少女爱丽丝以及上校本·戴米奥，因此共同踏上了阻止血皇后的征程。,Hellboy,"Hellboy,动作,冒险,科幻,奇幻,
        美国
          / 90分钟
        ,2019-04-12美国上映",地狱男爵：血皇后崛起
多米尼克（范·迪塞尔 饰）与莱蒂（米歇尔·罗德里格兹 饰）共度蜜月，布莱恩与米娅退出了赛车界，这支曾环游世界的顶级飞车家族队伍的生活正渐趋平淡。然而，一位神秘女子Cipher（查理兹·塞隆 饰）的出现，她引诱多米尼克走上犯罪道路，令整个队伍卷入信任与背叛的危机，生死患难的情义面临瓦解崩溃，前所未有的灾难考验着飞车家族。,The Fate of the Furious,"The Fate of the Furious,动作,惊悚,犯罪,
        美国
          / 136分钟
        ,2017-04-14大陆上映",速度与激情8
海王（杰森·莫玛 饰）是美国DC漫画旗下超级英雄，本名亚瑟·库瑞，是海底之国亚特兰蒂斯的皇后和美国海边一个灯塔看守人的私生子，拥有半人类、半亚特兰蒂斯人的血统，从小就展现出了远超常人的各项体能，以及能在水下自由活动与呼吸，并和海洋生物沟通等异于他人的能力，在前任亚特兰蒂斯国王死后，王位空缺，其母派人找到他，加冕其为亚特兰蒂斯国王、掌管七海，并被赋予了亚特兰蒂斯王权的象征，能操控大海力量，掀起风浪的三叉戟，后与超人、蝙蝠侠等人创立正义联盟，成为正义联盟七大创始人之一。,Aquaman,"Aquaman,动作,冒险,奇幻,
        美国
          / 143分钟
        ,2018-12-07大陆上映",海王
故事发生在非洲附近的大海上，主人公冷锋遭遇人生滑铁卢，被“开除军籍”，本想漂泊一生的他，正当他打算这么做的时候，一场突如其来的意外打破了他的计划，突然被卷入了一场非洲国家叛乱，本可以安全撤离，却因无法忘记曾经为军人的使命，孤身犯险冲回沦陷区，带领身陷屠杀中的同胞和难民，展开生死逃亡。随着斗争的持续，体内的狼性逐渐复苏，最终孤身闯入战乱区域，为同胞而战斗。,Wolf Warrior 2,"Wolf Warrior 2,动作,战争,
        中国大陆
          / 123分钟
        ,2017-07-27大陆上映",战狼2
总的来说，《寒战2》是一部水准之上的作品，在如今港片式微的格局下，《寒战2》找到了一种拍摄“好看的主旋律电影”的方法，在宣传香港精神的前提下，也保留了不少意味深长的政治解读空间。而影片的结局也依然留下悬念，宣告着后续的该系列第三部，这一信息也得到了制片人江志强的证实。,han zhan 3,"han zhan 3,剧情,动作,犯罪,
        中国香港,中国大陆
          / 90分钟
        ,2019中国香港上映",寒战3
這是關於兩個淪落香港的最低下層的人的故事。中年男子漢昌榮（黃秋生飾）因意外受傷癱瘓後妻離子散，他認為人生再沒有值得期望的東西，而自己亦不值得擁有任何東西。年輕菲傭Evelyn（Crisel Consunji飾）因為現實的原因，成為了一個寄人籬下的工人，放棄了成為攝影師的夢想。那一個夏天，這樣的兩個陌生人相遇相識，感情在他們的主僕關係中發芽，然而盛放的，卻是靈魂與靈魂之間的尊重和愛。他們一起經歷的春夏秋冬，令他們學習到底要怎樣面對人生的四季。,淪落人,"淪落人,剧情,
        中国香港
          / 90分钟
        ,2018-11-08台湾金马奖上映",沦落人
《银河护卫队2》5月5日就将在全美上映，在被问及是否会继续创作《银河护卫队》时，导演詹姆斯·古恩肯定地说：“这是肯定的，我们一定会拍《银河护卫队3》。我现在正在思考这个问题，但是现在我必须想清楚故事要往哪个方向发展，这也决定着我未来三年的时间将会如何度过。”,Guardians of the Galaxy Vol. 3,"Guardians of the Galaxy Vol. 3,动作,科幻,冒险,
        美国
          / 125分钟
        ,2020-05-01美国上映",银河护卫队3
流浪艺术家蟋蟀阿波罗（贾斯汀·朗 配音）来到了一个神秘的花园，阿波罗想要获得留在花园的资格，却险些遭到邪恶黄蜂温迪的陷害。有一天，他遇见了美丽蜂后玛格丽特（Anne Tilloy 配音），他们一起唱歌散步，结果土匪飞蛾斯芬克斯带着一帮害虫绑架了蜂后。邪恶黄蜂温迪趁机登上王位。 阿波罗为了证明自己更为了救出被温迪绑架的玛格丽特，它带着蜂后的好朋友们和温迪斗智斗勇，一场争夺王位、保卫花园的战斗即将开始……,Drôles de petites bêtes,"Drôles de petites bêtes,喜剧,动画,冒险,
        法国
          / 84分钟
        ,2019-04-13大陆上映",虫林大作战
二十世纪福斯准备拓展“X战警”系列，立项《新变种人》，找来导演乔什·布恩自编自导。角色都是X教授和万磁王的学生，能力比较特别、奇怪。《逆转未来》中的太阳黑子和闪烁在漫画中曾是新变种人成员。,X-Men: The New Mutants,"X-Men: The New Mutants,动作,惊悚,科幻,
        美国
          / 121分钟
        ,2019-08-02美国上映",X战警：新变种人
高智商悍匪龙志强（梁家辉饰），在香港回归前，乘港英政府不作为，而屡犯巨案。先后绑架富豪利家及雷家之长子，勒索超过二十亿元。事主怕被报复，交赎款后承诺不报警，让龙志强及其团队一直逍遥法外。 中港两地警方极为关注，委派香港警方卧底何天（古天乐饰）潜入龙的犯罪团伙。何天智勇双全，经多次考验才成功接近龙志强并伺机行动。但因龙狡兔三窟，而且无人报案，须等待其团队再次犯案才能予以拘捕。 经过多番的试探，何天终于得知龙下一个绑架目标身份。当何天以为已取得龙的信任，偷偷配合警方布下天罗地网之际，方知道此乃另一试探...... 最后，何天能否功成身退，救出肉参，把龙志强等人拘捕归案？,追龍2：追緝大富豪,"追龍2：追緝大富豪,剧情,动作,犯罪,
        中国大陆,中国香港
        ,2019大陆上映",追龙2：追缉大富豪
一股突如其来的强大邪恶势力对地球造成致命威胁，没有任何一个超级英雄能够单独抵挡。长期致力于保护全球安危的神盾局（SHIELD）感到措手不及，其指挥官“独眼侠”尼克-法瑞（塞缪尔·杰克逊 饰）意识到他必须创建一个“史上最强”的联盟组织，云集各方超级英雄一起发威，才能拯救世界于水深火热，抵御黑暗势力的侵袭。于是由六大超级英雄“钢铁侠”（小罗伯特·唐尼 饰）、“雷神” （克里斯·海姆斯沃斯 饰）、“美国队长”（克里斯·埃文斯 饰）、“绿巨人” （马克·鲁弗洛 饰）、“黑寡妇”（斯嘉丽·约翰逊 饰）和“鹰眼”（杰瑞米·雷纳 饰）组成的 “复仇者联盟”应运而生。他们各显神通，团结一心，终于战胜了邪恶势力，保证了地球的安全。,The Avengers,"The Avengers,动作,科幻,冒险,
        美国
          / 142分钟
        ,2012-05-05大陆上映",复仇者联盟
少年时期的叶修怀揣着电竞冠军的梦想，克服了重重困难，带领嘉世战队最终走上荣耀巅峰！,,"青春,
        中国大陆
          / 90分钟
        ,2019大陆上映",全职高手之巅峰荣耀
近未来，一代叱咤智能科技领域的风云人物郭实（郭涛 饰），在经历丧女之痛后决定远离尘嚣，终日与智能机器人相伴。但一次意外的发生，郭实莫名沦为“杀人逃犯”，并一步步落入对方所设的陷阱中。为证清白，郭实重拾“化蝶系统”，与爱徒飞凡（姜潮 饰）和机械发烧友萌萌（张子枫 饰）联手追查真凶。在探寻真相的过程中，郭实发现妻子宁雪（梅婷 饰）和好兄弟老查（范伟 饰）与此事有着千丝万缕的联系，但逐渐被视觉致幻的他开始难辨真假虚实，一场有关科技的烧脑战役呼之欲开。,Desire Game,"Desire Game,悬疑,犯罪,剧情,
        中国大陆
          / 109分钟
        ,2019-04-12大陆上映",欲念游戏
据悉，索尼已将《毒液》续集提上日程。《毒液》凭借1亿美元的投资目前拿到6.77亿美元全球票房，最终甚至可能摸高到8亿美元，拿到的利润会超过索尼之前所有的蜘蛛侠电影。虽然影片媒体口碑一般，但观众似乎很认可。接下来的《毒液》续集除了要展现伍迪·哈里森扮演的屠杀，如何将汤姆·赫兰德扮演的蜘蛛侠融入进来。目前这版的彼得·帕克还是高中生，算是索尼和MCU合作的产物，他和汤姆·哈迪扮演的埃迪同处在一个宇宙、一个时间线上吗？,,"动作,惊悚,科幻,
        美国
        ,2020-10-02美国上映",毒液2
在一座山间小城中，一对低配劫匪、一个落魄的泼皮保安、一个身体残疾却性格彪悍的残毒舌女以及一系列生活在社会不同轨迹上的小人物，在一个貌似平常的日子里，因为一把丢失的老枪和一桩当天发生在城中的乌龙劫案，从而被阴差阳错地拧到一起，发生的一幕幕令人啼笑皆非的荒诞喜剧。,A Cool Fish,"A Cool Fish,剧情,喜剧,犯罪,
        中国大陆
          / 108分钟
        ,2018-11-16大陆上映",无名之辈
《角头2：王者再起》故事描述仁哥（王识贤饰演）面对曾经的好兄弟，如今却“走味”变成‘最换帖的敌人’的刘健（邹兆龙饰演）重现江湖，不断挑起纷争与冲突，破坏仁哥的忍耐与努力维持的和平。看着刘健的事业版图逐渐扩大，身边的兄弟为了情义有所牺牲，仁哥终究按耐不住释放出心中的猛兽，与亦敌亦友的刘健正式开战，为江湖掀起腥风血雨的厮杀。,角頭2：王者再起,"角頭2：王者再起,剧情,动作,犯罪,
        中国台湾
          / 127分钟
        ,2018-02-15中国台湾上映",角头2：王者再起
在《星球大战8》的故事结束后，后传三部曲终于迎来了高潮。,Star Wars: Episode IX,"Star Wars: Episode IX,动作,科幻,冒险,
        美国
        ,2019-12-20美国上映",星球大战9：天行者崛起
记者埃迪·布洛克（汤姆·哈迪 饰）在调查生命基金会的最新科学实验过程中，受到不明外星物质共生体的入侵与控制，历经挣扎成为亦正亦邪的超级英雄——毒液。他将以毒攻毒，破解生命基金会的惊天阴谋，拯救世界。,Venom,"Venom,动作,惊悚,科幻,
        美国
          / 107分钟
        ,2018-11-09大陆上映",毒液：致命守护者
龙天娜和龙剑飞带着能任意穿梭太空的“虫洞计划”出现，刘轩因此复出商场，人鱼姗姗误打误撞成了太空员，在纠缠不清的四角关系背后还藏着惊天阴谋。,Mermaid 2,"Mermaid 2,喜剧,奇幻,爱情,
        中国大陆
        ,2020大陆上映",美人鱼2
六位身份各异的陌生人，为赢取高额奖金，在神秘盒子的指引下受邀参与世界顶级密室逃脱游戏。谁知密室内布局精良机关重重，陷阱遍布杀机暗藏。是刺激游戏，还是博命赌局？谁在背后操控这一切？谁能够成功破解谜局，逃出生天？,Escape Room,"Escape Room,惊悚,悬疑,犯罪,
        美国
          / 100分钟
        ,2019-01-18大陆上映",密室逃生
